tweet,label
b'@GrandpaSnarky @jomare61861194 @themessage8 @mamar9635 @mommanne12 @Americancrawl @Mapolino @jsr221016\xe2\x80\xa6 https://t.co/lImk5SR51q',BLM
b'LOL ! You are losing &amp; have no facts ! Typical liars &amp; brainwashed libs ! Violent #BLM Take your BS outta here.\xe2\x80\xa6 https://t.co/tvzMAhdOIR',BLM
b'RT @Cornishview: Good Morning &amp; welcome to racist Britain. It seems that all us whiteys are racists according to an unending stream of #BLM\xe2\x80\xa6',BLM
b'RT @Voices4Ethiopia: #GLEAN @GleanEthiopian has launched a letter writing campaign to implore the US to change its position and support #Et\xe2\x80\xa6',BLM
"b'Sharon Osborne ""ain\'t racist"" y\'all. She chooses racist friends and supports a monarchy with a history of Coloniali\xe2\x80\xa6 https://t.co/D3nMCn2S5h'",BLM
b'RT @BlackWorkTalk: New episode of Black Work Talk. @JessedHagopian is guest.  Great convo on transforming schools in the age of COVID and #\xe2\x80\xa6',BLM
b'@Sumi23189588 @KensingtonRoyal Again Brown lives do matter and because of #BLM pushing change that is making this w\xe2\x80\xa6 https://t.co/Hie2oB3SIu',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37\nAfter a brief sidebar the court/Judge has used and agreed upon strike for cause\xe2\x80\xa6 https://t.co/CT6hN7TPeW',BLM
b'RT @phoenixfyre86: Just got my shirt yesterday! Looks great! Thanks @undeadlabs @OutlawHue the artwork is amazing. #TowardBrighterDays #NAA\xe2\x80\xa6',BLM
"b'FWIW, I have to take a Twitter holiday...I\xe2\x80\x99m finding the distilled horrors of the world - all of which I was aware\xe2\x80\xa6 https://t.co/nrYqjDLw1j'",BLM
b'@GrandpaSnarky @LizGrise @jeanimroy @VoxDemocrat @ralphyaniz @DenverOdie @Dan51240891 @vince_galietta @rebarlaird\xe2\x80\xa6 https://t.co/umxhHwaQHZ',BLM
b'It\xe2\x80\x99s 8:44 am and the murder trial of George Floyd Is on court tv. I think some wine \xf0\x9f\x8d\xb7 is in order #BlackLivesMatter\xe2\x80\xa6 https://t.co/4yzosbcPWD',BLM
"b'Firefly trending!? Don\'t mind if I do! ""Big damn heroes Sir!"" - Zoe  #firefly #BHM #BLM https://t.co/oOYKoUApUL'",BLM
"b""Once again, #Marxist #BLM threatens Minneapolis.\nI say again, it is well past time that Gov't stepped in and out a\xe2\x80\xa6 https://t.co/HtrHA5MoU0""",BLM
b'#breaking #consumer #news Justice for the late #NearestGreen #masterdistiller #JackDaniels #whiskey give it a try\xe2\x80\xa6 https://t.co/UGoxhhOACa',BLM
b'RT @tranarchist_: Today 1pm\xe2\x80\xa2Chapman Square \n\nThe JFPK March at 11am is also downtown and will be meeting this. Everyone out on this beautif\xe2\x80\xa6',BLM
b'#BLM is an idol. Christ Jesus would not approve.',BLM
b'RT @MsDualeh: So proud of the art piece that my class created to celebrate African Heritage Month #Africanheritagemonth #BLM #Tdsb https://\xe2\x80\xa6',BLM
b'@KindesaurusRex @samson_haines @WesselBaden @traveljunkie56 @scobie @newscorp Look at @Google. The world is changin\xe2\x80\xa6 https://t.co/jUDBkPATuY',BLM
b'RT @BombshellDAILY: \xe2\x80\x9cBLACKS FOR TRUMP\xe2\x80\x9d NOW UNDER I.R.S INVESTIGATION \nGroup illegally used foreign donations. #espionage #BLM\nhttps://t.co/\xe2\x80\xa6',BLM
b'The most racist thing I ever seen in 2021 #BLM https://t.co/wuAgpSmqMc',BLM
"b'RT @sarasidnerCNN: The scene right outside the Hennepin County courthouse in Minneapolis. Native Americans share their culture, #BLM suppor\xe2\x80\xa6'",BLM
"b""RT @Freedom4Horses: $25. That's all @BLMNational thinks these lives are worth. These are all young horses. Many are just babies.They will a\xe2\x80\xa6""",BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 would not like a not guilty verdict but says but could come in and presume the d\xe2\x80\xa6 https://t.co/JjbimiIFLk',BLM
b'@GrandpaSnarky @Addis_Gebre_ @mom_gypsys @Nancy20203 @DCWingnut @ForcesforChange @LindaAWright3 @BINJURED\xe2\x80\xa6 https://t.co/ya6gYNKEYx',BLM
b'Just let that sink in. \n#blm #americawakeup https://t.co/32uPbx84vU',BLM
"b""RT @AntheaJ47: You realise you're living in a fcuked up world when the ones who claim they're not #racist are the ones who are continually\xe2\x80\xa6""",BLM
b'@pd_kill_tracker @PhoenixPolice #BLM justice for Paul Bolden. #ACAB',BLM
"b""RT @sensei72769847: #BLM \nblue lives matter\n-police officers are human beings too yknow\n-they're usually pretty chill and are the reason wh\xe2\x80\xa6""",BLM
b'RT @_HassanF: Drop. The. Patents. \n\nA pandemic. 1 year. \n\n#PeoplesVaccine \n#NoVaccineApartheid \n#VaccinEquity \n#BLM https://t.co/O7KBjGYluD',BLM
"b""I got it! Figured it out! \xf0\x9f\x99\x84\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nSo, it appears the #Dems are making way for 'baddies' to roam freely!\nRemember who De\xe2\x80\xa6 https://t.co/q1fS1RVyK7""",BLM
"b'We, the People, are sick n fuckin tired of seeing corruption within government forces.\n\nWe allow ourselves to be di\xe2\x80\xa6 https://t.co/Yd7icBBoyY'",BLM
b'@JordanJDuran End the endless wars. Power and money to the people. #M4A #BLM #FightFor15 #CancelStudentDebt\xe2\x80\xa6 https://t.co/eexJC80Oef',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nDEFENSE ABOUT TO BURN A STRIKE\n\n#TrueCrime\n#GeorgeFloyd\n#DerekChauvin\n#Manslaughter\xe2\x80\xa6 https://t.co/KPPmtqJWXH',BLM
"b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 will ""try my best"" to be fair\n\n#TrueCrime\n#GeorgeFloyd\n#DerekChauvin\xe2\x80\xa6 https://t.co/15sbTJXG30'",BLM
b'RT @ConlinKaitlyn: @daz_black \xe2\x9c\x8a\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf all colours are beautiful! And #blm https://t.co/lwtlnJyJiW',BLM
b'RT @imrau2: \xf0\x9f\x96\xa4 I hope this can help you understand that all lives can\xe2\x80\x99t matter until BLACK LIVES MATTER ! #BLM \xf0\x9f\x96\xa4if u still dont get it ...\xe2\x80\xa6',BLM
"b""People of #BLM #BlackLivesMatter should already be in the streets around the world protesting  #DerekChauvin hasn't\xe2\x80\xa6 https://t.co/WVVYYQ47K1""",BLM
b'Fightback against the weaponisation of antisemitism https://t.co/1C9bWGwDvy #ExLabour #Socialists #BLM',BLM
b'jury selection only. #GeorgeFloyd  #derekchauvincase #BLM \n\nWATCH LIVE | Jury selection continues for murder trial\xe2\x80\xa6 https://t.co/hhKKIb1Pr5',BLM
b'RT @BombshellDAILY: GEORGE FLOYD MURDERER NOW FACING THIRD-DEGREE MURDER CHARGE\nJudge has now allowed prosecutors to add an additional char\xe2\x80\xa6',BLM
"b'RT @OneJurorMatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37, I can be fair, I can be impartial, but I CAN NOT UNSEE THAT VIDEO\n\n#TrueCrime\n#Geo\xe2\x80\xa6'",BLM
b'@daz_black \xe2\x9c\x8a\xf0\x9f\x8f\xbb\xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf all colours are beautiful! And #blm https://t.co/lwtlnJyJiW',BLM
"b'\xf0\x9f\x8e\x99\xe2\x9a\xbd\xef\xb8\x8fEpisode 19 interview with Quincy Amarikwa, Director for Strategic Partnerships with the @BPCMLS and all the work\xe2\x80\xa6 https://t.co/PJQ06Pq8w9'",BLM
b'RT @jajawoot: Overdose data for first two months of 2021. #SafeSupply #Decriminalization #healthequity #ILM #BLM https://t.co/KwsoqQnuph',BLM
b'RT @merseynewslive: Why the treatment of Meghan Markle sends the wrong message to our children. Check out our latest short video:\n https://\xe2\x80\xa6',BLM
b'RT @PeaceOneDay: Filming with @Iamkashsiddiqi and @yandhanda for 21 March Anti-Racism Live Global Digital Experience. \n\n@ffp_global #Fightr\xe2\x80\xa6',BLM
b'Why the treatment of Meghan Markle sends the wrong message to our children. Check out our latest short video:\xe2\x80\xa6 https://t.co/rPyOmo1bTd',BLM
"b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37, I can be fair, I can be impartial, but I CAN NOT UNSEE THAT VIDEO\n\n#TrueCrime\xe2\x80\xa6 https://t.co/1H6K4SzzkD'",BLM
"b""@MichaelLeinbach THE RESISTANCE DON'T FUCK WITH STUPID!\n#WeAreTheResistance  #StrongerTogether\xe2\x80\xa6 https://t.co/t30bToPt8D""",BLM
"b'RT @SturmNextTerm: We spend more than any other nation on healthcare, but have a system that is either too expensive, or completely out of\xe2\x80\xa6'",BLM
"b'@ErrolWebber #BLM is a #radical #neoMarxist and #Racist movement, create for racist by racist.'",BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 does not like violent aggressive videos but could make an exception if chosen as\xe2\x80\xa6 https://t.co/1L4gwqE8JE',BLM
b'RT @sillymickel: FnG 3/9  \xe2\x80\x9cIt is so much a part of our thinking we fail to notice any problem when the tough guy police officer on the silv\xe2\x80\xa6',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 admits SHE CRIED when she saw the video of George Floyd crying for his mom\xe2\x80\xa6 https://t.co/fc5i66KvM1',BLM
"b'Mon Jun 01 2020 Bentonville, Arkansas - Law enforcement tear-gas a crowd chanting \xe2\x80\x9cwe want peace\xe2\x80\x9d right after exiti\xe2\x80\xa6 https://t.co/oImbUdsfKR'",BLM
"b'@NAS ""ULTRA BLACK"" https://t.co/EVYMSv0BD3 #blm #hiphop #ultrablack #blackandproud'",BLM
"b'RT @RN00711: Merrick Garland this is why we need you in the DOJ. Fix issues like this! Investigate bad policing! #BLM\n\n""Man Sues Hertz for\xe2\x80\xa6'",BLM
b'RT @mwcartoons: #Justice for GeorgeFloyd? Will a white #officer again get away with killing a coloured man?\n#GeorgeFloyd #Icantbreathe #cou\xe2\x80\xa6',BLM
b'@bluelivesmtr Everyone across the country is going to see this happen. This is why legitimate gun sales are soaring\xe2\x80\xa6 https://t.co/2cSGZ5K63M',BLM
"b""#BLM \nblue lives matter\n-police officers are human beings too yknow\n-they're usually pretty chill and are the reaso\xe2\x80\xa6 https://t.co/W825NufwMA""",BLM
b'RT @Reactionpower: You have power \xf0\x9f\x92\xaa Use that power for good. Find out more here https://t.co/cncB8qgvrG\n\n#PowerLife #WednesdayWisdom #Leade\xe2\x80\xa6',BLM
b'RT @WarnockWarrior: @SethAbramson @UROCKlive1 Biden cares about the people of Texas \xf0\x9f\xa4\xa0\n\nThe people of Texas are in all of our hearts at this\xe2\x80\xa6',BLM
b'Overdose data for first two months of 2021. #SafeSupply #Decriminalization #healthequity #ILM #BLM https://t.co/KwsoqQnuph',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 has seen most of the videos 4+ times\n\nSaw The Facebook video in full 1X where sh\xe2\x80\xa6 https://t.co/oCVEaLcymw',BLM
"b'Hey everyone, check this article out at https://t.co/kEIEn3l05n\n#BLM #blacklivesmatter #Student https://t.co/jNb46oZqar'",BLM
"b""RT @OneJurorMatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37\nHas VERY NEGATIVE opinions of Derek Chauvin, that hasn't evolved or changed\n\nSays C\xe2\x80\xa6""",BLM
"b'She\'s ""PRESS"" for God\'s sake. But she was focusing on #BLM and not #MAGA, that\'s the real issue. https://t.co/pcIec0eAQq'",BLM
b'@caitlinmoran Did white media women care this much when black women #NicoleSmallman and #bibaahenry were murdered i\xe2\x80\xa6 https://t.co/zl6ydOHK5K',BLM
"b""@jl2020_jim @AbriolaLisa @LizForTX8 #lol\n\nYou don't even understand what #BLM means, do you?""",BLM
"b""\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37\nHas VERY NEGATIVE opinions of Derek Chauvin, that hasn't evolved or changed\n\nSay\xe2\x80\xa6 https://t.co/CWwkFi0AYL""",BLM
b'RT @mrtom2360: DOJ did not charge officer Wilson b/c of forensics &amp; black witnesses https://t.co/OyZRv7X8DX  \nMartin was trying to bash in\xe2\x80\xa6',BLM
"b'3rd degree murder charge rightfully reinstated.  However, jury selection is going to be slow, to say the least\xe2\x80\xa6 https://t.co/V8dLQAcahL'",BLM
b'#Antifa is a criminal mob\n#BLM is a criminal mob\n@DNC is a criminal mob\n#BigTech is a criminal mob\nUnderstand the connection now?',BLM
"b'RT @PBProject: Austin\nArlington, TX\nBaltimore\nBoston\nChicago\nColumbus\nDC\nDenver\nDetroit\nLas Vegas\nLA\nMinneapolis\nNew Orleans\nNYC\nOklahoma C\xe2\x80\xa6'",BLM
b'@rosesbloom24 @GordonMiyoshi @phandi @kcjulius @valeriepenny @abmilamalfi @sieberhagencri1 @DerekRKing2\xe2\x80\xa6 https://t.co/J8dsG5UcXu',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 says her views MAY HAVE evolved since filling out the original questionnaire bac\xe2\x80\xa6 https://t.co/ZuXHg5sA0Y',BLM
"b'RT @mwertlieb: ""...it really kind of just pulled the lid off the community. We were as divided as the country was."" New mayor of Vergennes\xe2\x80\xa6'",BLM
b'DOJ did not charge officer Wilson b/c of forensics &amp; black witnesses https://t.co/OyZRv7X8DX  \nMartin was trying to\xe2\x80\xa6 https://t.co/JYxrL4T6Le',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 is open to others opinions &amp; would attempt to be fair and impartial but not sure\xe2\x80\xa6 https://t.co/YdVztBh2zJ',BLM
b'Judge reinstates third-degree murder charge in death of George Floyd - https://t.co/g45d9XP30s\n\n#BLM \n#SayHisName\xe2\x80\xa6 https://t.co/fggWXVp1k1',BLM
b'RT @Deplorable3rd: Glad someone is keeping their eye on the ball. Everything they do is to distract and most of us are guilty of biting fro\xe2\x80\xa6',BLM
b'RT @vicic_carol: How many millions did the insurrectionist @SpeakerPelosi give to #BLM and #Antifa?',BLM
b'Call the number below! Ask the original #BLM if they\xe2\x80\x99re getting rid of beautiful horses so that #WelfareRanchers ca\xe2\x80\xa6 https://t.co/YZHxuUPaVr',BLM
b'RT @instafames: This is nothing Againt #blm  but it\xe2\x80\x99s so frustrating to see Spanish Celebrities or Latin public figures who were quick to p\xe2\x80\xa6',BLM
"b""\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 unable to put the video aside\n\nJ37 says it'll be traumatizing to have to see the\xe2\x80\xa6 https://t.co/XmAaICxXEi""",BLM
"b'I\xe2\x80\x99ll say it 1,000 times, when it comes to a POC telling you, a white person, about BLM and how it is to live their\xe2\x80\xa6 https://t.co/VAyRpWLR86'",BLM
"b""RT @InspGadgetBlogs: Police 'taking the knee' during #BLM protests was the most embarrassing and outrageous strain on our reputation. I lit\xe2\x80\xa6""",BLM
"b'@Buster443 @berriojo1 @FoxNews Unfortunately, yes I do.\n\nIf kissing ass is what I need to do as penance for my race\xe2\x80\xa6 https://t.co/UsncZl1L1U'",BLM
b'RT @joelewisgod: #BLM and #Antifa are the terrorist branches of the #DNC https://t.co/S0gmuYPglr',BLM
b'RT @sillymickel: FnG 3/8  \xe2\x80\x9cSo they see no problem in straying over lines to get what they want. We see that element in virtually all tales\xe2\x80\xa6',BLM
b'How many millions did the insurrectionist @SpeakerPelosi give to #BLM and #Antifa?',BLM
b'@ama_plange @Tenby_Mosque @hen_helper @Fogo104 @calvinrobinson Everybody Bad mouths #BLM  Have you ever seen good p\xe2\x80\xa6 https://t.co/gsy08CDR5s',BLM
"b'Beth Moore, a Prominent Evangelical, Splits With Southern Baptists https://t.co/xBjx6kpvP8 #WakeUp #Finally\xe2\x80\xa6 https://t.co/gjCrcWiQlv'",BLM
b'Cancel culture cancelling Pepe Le Pew.  He was a romantic but he did do some unwanted touching.  Maybe he should ap\xe2\x80\xa6 https://t.co/aRBM60jsb7',BLM
b'This is NOT okay... https://t.co/g1ul8LXjCk @Thuminnoo #BLM #BlackArtist https://t.co/2AOwZt79g4',BLM
"b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 is concerned for her well being &amp; that of her children, courthouse security made\xe2\x80\xa6 https://t.co/qxrqwbt2nD'",BLM
"b""Let's Pass Police Reform-Support the George Floyd Justice in Policing Act! - Sign the Petition!\xe2\x80\xa6 https://t.co/Te2KlmrxyK""",BLM
"b""DEAREST STACEY DASH --- any rational person would've known better.  You consciously chose to align yourself with a\xe2\x80\xa6 https://t.co/CMdOn3QGFT""",BLM
"b'No racism ,black live really matters ,and try to be a good leader not a boss ,share the little you have so other ca\xe2\x80\xa6 https://t.co/uOgWyWNdi4'",BLM
"b""RT @FAlRAlS: // george floyd\n\ntw police brutality , black murder\n\nanonymous  are  pretty  quiet  /  hard  to  follow.  here's   a  thread\xe2\x80\xa6""",BLM
b'RT @ResisterSis20: I am #LGBTQ and #MeToo\nI am a Proud US History Teacher.\nI am the Proud Wife of a Paramedic.\nI am a Proud supporter of DA\xe2\x80\xa6',BLM
b'A fantastic discussion on Associate cricket between \n@PeterDellaPenna and  @ICFans members. We discuss path for the\xe2\x80\xa6 https://t.co/IeJpslvv6X',BLM
b'RT @christynbyrd: Can\xe2\x80\x99t believe it\xe2\x80\x99s been a year \xf0\x9f\xa5\xba.. Breonna Taylor still deserves justice #blm',BLM
b'Good. Time to put to bed the idea that challenging slavery links is somehow Marxist.  #woke #BlackLivesMatter #blm \n\nhttps://t.co/yxUabs2DSv',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJ37 says jury deliberation sequestration is likely a problem but will try her best t\xe2\x80\xa6 https://t.co/RiYZC8rUCr',BLM
b'Today 1pm\xe2\x80\xa2Chapman Square \n\nThe JFPK March at 11am is also downtown and will be meeting this. Everyone out on this b\xe2\x80\xa6 https://t.co/h9Ip0Oqn46',BLM
"b'What does not surprise me is this this new lot of rapist, murders, looters, #AntifaTerrorist and #BLM scum are even\xe2\x80\xa6 https://t.co/QhPPWWu7I3'",BLM
b'.@openmicmedia is proud to work with investor groups who are now pushing #BigTech to take real action in support of\xe2\x80\xa6 https://t.co/Y002gytTZN',BLM
b'RT @OneJurorMatters: \xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJUROR/36 HAS BEEN CHOSEN\n\nMALE\n\nWELCOME TO THE PARTY\n\nSEE YOU MONDAY 3/29 @ 9AM\n\n#TrueC\xe2\x80\xa6',BLM
b'#GOP wants elderly to die to cut #SocialSecurity and #Medicare. #BLM and #Latinos to die so less #Democrats vote. T\xe2\x80\xa6 https://t.co/1h2WonYeLm',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJuror/37 (J37) Female\n\nUnable to unsee the video\n\nWill try to be fair &amp; impartial\n\nS\xe2\x80\xa6 https://t.co/DgeY0KEgAo',BLM
b'Are we woke yet #America? #WeThePeople #Democrats #Liberals #TheLeft #Republicans #Conservatives #TheRight #Racism\xe2\x80\xa6 https://t.co/sYV86Qla2N',BLM
"b'RT @TheGIFTlist100: .\n@Chineke4Change founder, @chichinwanoku speaks at @aborchestras - the Association of British Orchestras Conference 20\xe2\x80\xa6'",BLM
b'RT @collegeladydc: So proud of Alan Scott and @alanscottband and his new song and video. Thanks for letting me help in a small way! #johnle\xe2\x80\xa6',BLM
b'@LindseyBoylan @JoeBiden @KamalaHarris @SpeakerPelosi @SenSchumer @SenGillibrand @RepJeffries @NydiaVelazquez\xe2\x80\xa6 https://t.co/YXpL6yjspD',BLM
b'Thank you @jeffersondsmith and #JoeSmith for your contributions to keep #XrayFM AM listeners informed during\xe2\x80\xa6 https://t.co/YxIOFu6KLH',BLM
b'GEORGE FLOYD MURDERER NOW FACING THIRD-DEGREE MURDER CHARGE\nJudge has now allowed prosecutors to add an additional\xe2\x80\xa6 https://t.co/p0NACf3spA',BLM
b'\xf0\x9f\x97\xa3\xf0\x9f\x93\xa2#BREAKING\n\n\xf0\x9f\x91\xa4JURY SELECTION\xe2\x9a\x96\n\nJUROR/36 HAS BEEN CHOSEN\n\nMALE\n\nWELCOME TO THE PARTY\n\nSEE YOU MONDAY 3/29 @ 9AM\xe2\x80\xa6 https://t.co/S6sFy14saQ',BLM
b'SIDE NOTE: Are you someone who believes that people with technological capabilities like genetic manipulation or\xe2\x80\xa6 https://t.co/sf8xPSHW71',BLM
"b'@Joey_P_Golf @TalbertSwan I think the jist of this is, why are they applying so much pressure for black people to t\xe2\x80\xa6 https://t.co/1jZWF88BbN'",BLM
"b'@RepJayapal If we are unemployed, we get this money, we still won\xe2\x80\x99t be able to pay all the rent due. We still can\xe2\x80\x99t\xe2\x80\xa6 https://t.co/0SnF78fVKA'",BLM
b'So proud of Alan Scott and @alanscottband and his new song and video. Thanks for letting me help in a small way!\xe2\x80\xa6 https://t.co/HLavcC1Wof',BLM
b'@LynetteRomero @KTLAMorningNews @ABC7 2killings in as many days around UCR by police #blm why isn\xe2\x80\x99t this in the new\xe2\x80\xa6 https://t.co/XnzQRQwUY5',BLM
"b'RT @WhoTaughtYouPod: This week @choreyknows and @inksp_ill discuss their boundaries, who they pertain to, who taught them, and more. Hit th\xe2\x80\xa6'",BLM
